Education,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_Status,Gender_Male,Married_Yes,Dependents_1.0,Dependents_2.0,Dependents_3.0,Self_Employed_Yes,Credit_History_1.0
Graduate,5849,0.0,128.0,360.0,Urban,Y,True,False,False,False,False,False,True
Graduate,4583,1508.0,66.0,360.0,Rural,N,True,True,True,False,False,False,True
Graduate,3000,0.0,120.0,360.0,Urban,Y,True,True,False,False,False,True,True
Not Graduate,2583,2358.0,141.0,360.0,Urban,Y,True,True,False,False,False,False,True
Graduate,6000,0.0,267.0,360.0,Urban,Y,True,False,False,False,False,False,True
Graduate,5417,4196.0,95.0,360.0,Urban,Y,True,True,False,True,False,True,True
Not Graduate,2333,1516.0,158.0,360.0,Urban,Y,True,True,False,False,False,False,True
Graduate,3036,2504.0,168.0,360.0,Semiurban,N,True,True,False,False,True,False,False
Graduate,4006,1526.0,349.0,360.0,Urban,Y,True,True,False,True,False,False,True
Graduate,12841,10968.0,70.0,360.0,Semiurban,N,True,True,True,False,False,False,True
Graduate,3200,700.0,109.0,360.0,Urban,Y,True,True,False,True,False,False,True
Graduate,2500,1840.0,200.0,360.0,Urban,Y,True,True,False,True,False,False,True
Graduate,3073,8106.0,114.0,360.0,Urban,Y,True,True,False,True,False,False,True
Graduate,1853,2840.0,17.0,360.0,Rural,N,True,False,False,False,False,False,True
Graduate,1299,1086.0,125.0,120.0,Urban,Y,True,True,False,True,False,False,True
Graduate,4950,0.0,100.0,360.0,Urban,Y,True,False,False,False,False,False,True
Not Graduate,3596,0.0,76.0,240.0,Urban,Y,True,False,True,False,False,False,False
Graduate,3510,0.0,133.0,360.0,Urban,N,False,False,False,False,False,False,True
Not Graduate,4887,0.0,115.0,360.0,Rural,N,True,True,False,False,False,False,True
Graduate,2600,3500.0,104.0,360.0,Urban,Y,True,True,False,False,False,False,False
Not Graduate,7660,0.0,315.0,360.0,Urban,N,True,True,False,False,False,False,True
Graduate,5955,5625.0,116.0,360.0,Urban,Y,True,True,True,False,False,False,False
Not Graduate,2600,1911.0,112.0,360.0,Semiurban,N,True,True,False,False,False,True,False
Not Graduate,3365,1917.0,151.0,360.0,Rural,N,True,True,False,True,False,False,True
Graduate,3717,2925.0,191.0,360.0,Semiurban,N,True,True,True,False,False,False,True
Graduate,9560,0.0,122.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,2799,2253.0,110.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Not Graduate,4226,1040.0,35.0,360.0,Urban,Y,True,True,False,True,False,True,True
Not Graduate,1442,0.0,120.0,360.0,Urban,N,False,False,False,False,False,False,True
Graduate,3750,2083.0,201.0,360.0,Semiurban,Y,True,False,False,True,False,False,True
Graduate,4166,3369.0,74.0,360.0,Urban,N,True,True,True,False,False,False,True
Graduate,3167,0.0,106.0,360.0,Urban,N,True,False,False,False,False,False,True
Graduate,4692,0.0,114.0,360.0,Rural,N,True,False,True,False,False,False,True
Graduate,3500,1667.0,320.0,360.0,Semiurban,Y,True,True,False,False,False,False,False
Graduate,12500,3000.0,100.0,360.0,Rural,N,True,False,False,False,True,False,True
Graduate,2275,2067.0,144.0,360.0,Urban,Y,True,True,False,False,False,False,True
Graduate,1828,1330.0,184.0,360.0,Urban,N,False,True,False,False,False,False,True
Graduate,3667,1459.0,110.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,4166,7210.0,80.0,360.0,Urban,Y,True,False,False,False,False,False,True
Not Graduate,3748,1668.0,47.0,360.0,Semiurban,Y,True,False,False,False,False,True,True
Graduate,3600,0.0,75.0,360.0,Urban,N,True,False,False,False,False,False,True
Graduate,1800,1213.0,134.0,360.0,Urban,Y,True,False,False,False,False,False,True
Graduate,2400,0.0,96.0,360.0,Urban,Y,True,True,False,False,False,False,True
Graduate,3941,2336.0,88.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Not Graduate,4695,0.0,44.0,360.0,Urban,Y,False,True,False,False,False,False,False
Graduate,3410,0.0,144.0,360.0,Urban,Y,True,False,False,False,False,False,True
Graduate,5649,0.0,120.0,360.0,Urban,Y,True,True,True,False,False,False,True
Graduate,5821,0.0,144.0,360.0,Urban,Y,False,True,False,False,False,False,True
Graduate,2645,3440.0,100.0,360.0,Urban,N,False,True,False,False,False,False,True
Graduate,4000,2275.0,120.0,360.0,Semiurban,Y,False,False,False,False,False,True,True
Not Graduate,1928,1644.0,112.0,360.0,Semiurban,Y,False,True,False,False,False,False,False
Graduate,3086,0.0,134.0,360.0,Semiurban,Y,False,False,False,False,False,False,True
Graduate,4230,0.0,286.0,360.0,Semiurban,N,True,False,False,False,False,False,True
Graduate,4616,0.0,97.0,360.0,Urban,N,False,True,False,True,False,False,True
Graduate,11500,0.0,96.0,360.0,Urban,N,True,True,True,False,False,False,True
Graduate,2708,1167.0,135.0,360.0,Semiurban,Y,True,True,False,True,False,False,True
Graduate,2132,1591.0,180.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,3366,2200.0,144.0,360.0,Rural,N,True,True,False,False,False,True,True
Graduate,8080,2250.0,120.0,180.0,Urban,Y,True,True,True,False,False,False,False
Not Graduate,3357,2859.0,99.0,360.0,Urban,Y,True,True,False,True,False,False,False
Graduate,2500,3796.0,165.0,360.0,Urban,Y,True,True,False,False,False,False,False
Graduate,3029,0.0,116.0,360.0,Urban,Y,True,True,False,False,True,False,True
Not Graduate,2609,3449.0,258.0,180.0,Rural,N,True,True,False,False,False,False,False
Graduate,4945,0.0,126.0,360.0,Rural,N,False,True,True,False,False,True,True
Graduate,4166,0.0,312.0,60.0,Semiurban,N,True,False,False,False,False,False,True
Graduate,5726,4595.0,125.0,360.0,Semiurban,N,True,True,False,False,False,False,False
Not Graduate,3200,2254.0,136.0,360.0,Urban,N,True,False,False,False,False,True,True
Graduate,10750,0.0,172.0,360.0,Urban,Y,True,True,True,False,False,False,True
Not Graduate,7100,0.0,97.0,300.0,Urban,Y,False,True,False,False,True,False,True
Graduate,4300,0.0,81.0,360.0,Semiurban,N,True,False,False,False,False,True,False
Graduate,3208,3066.0,95.0,480.0,Urban,Y,True,True,False,False,False,False,True
Not Graduate,1875,1875.0,187.0,360.0,Semiurban,Y,True,True,False,True,False,False,True
Graduate,3500,0.0,113.0,360.0,Semiurban,Y,True,False,False,False,False,True,True
Not Graduate,4755,0.0,176.0,300.0,Semiurban,N,True,True,False,False,True,False,True
Graduate,5266,1774.0,110.0,360.0,Semiurban,Y,True,True,False,False,True,True,False
Graduate,3750,0.0,180.0,360.0,Urban,N,True,False,False,False,False,False,True
Graduate,3750,4750.0,130.0,360.0,Urban,N,True,False,False,False,False,True,True
Graduate,1000,3022.0,111.0,360.0,Urban,N,True,True,True,False,False,False,True
Graduate,3167,4000.0,167.0,360.0,Semiurban,N,True,True,False,False,True,False,True
Not Graduate,3333,2166.0,265.0,240.0,Semiurban,Y,False,True,False,False,True,False,True
Graduate,3846,0.0,50.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Graduate,2395,0.0,136.0,360.0,Semiurban,Y,False,True,True,False,False,False,True
Graduate,1378,1881.0,99.0,360.0,Urban,N,True,True,False,True,False,False,True
Graduate,6000,2250.0,104.0,360.0,Semiurban,N,True,True,False,False,False,False,True
Graduate,3988,0.0,210.0,360.0,Urban,Y,True,True,True,False,False,False,True
Graduate,2366,2531.0,175.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Not Graduate,3333,2000.0,131.0,180.0,Semiurban,Y,True,True,False,True,False,False,True
Graduate,2500,2118.0,188.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,8566,0.0,81.0,360.0,Urban,Y,True,False,False,False,False,False,True
Graduate,5695,4167.0,122.0,120.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,2958,2900.0,25.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,6250,5654.0,137.0,360.0,Semiurban,Y,True,True,False,True,False,False,True
Not Graduate,3273,1820.0,50.0,360.0,Urban,Y,True,True,False,True,False,False,True
Graduate,4133,0.0,115.0,180.0,Semiurban,Y,True,False,False,False,False,False,True
Not Graduate,3620,0.0,131.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Graduate,6782,0.0,133.0,180.0,Urban,N,False,False,False,False,False,False,True
Graduate,2484,2302.0,151.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,1977,997.0,160.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Not Graduate,4188,0.0,100.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,1759,3541.0,225.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Not Graduate,4288,3263.0,120.0,360.0,Urban,Y,True,True,False,True,False,False,False
Graduate,4843,3806.0,216.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Graduate,13650,0.0,94.0,360.0,Urban,Y,True,True,False,False,False,False,True
Graduate,4652,3583.0,136.0,360.0,Semiurban,Y,True,True,True,False,False,False,True
Graduate,3816,754.0,139.0,480.0,Urban,Y,True,True,False,True,False,False,False
Graduate,3052,1030.0,152.0,360.0,Urban,Y,True,True,False,False,False,True,True
Graduate,11417,1126.0,118.0,360.0,Urban,Y,True,False,False,True,False,False,True
Not Graduate,7333,0.0,185.0,360.0,Rural,N,True,True,False,False,True,False,True
Graduate,3800,3600.0,154.0,360.0,Urban,N,True,True,False,False,False,False,True
Not Graduate,2071,754.0,85.0,180.0,Semiurban,Y,True,False,False,False,False,False,True
Graduate,5316,0.0,175.0,360.0,Urban,Y,False,True,False,False,False,False,True
Graduate,2929,2333.0,259.0,360.0,Semiurban,Y,True,True,True,False,False,False,True
Not Graduate,3572,4114.0,180.0,360.0,Rural,N,False,False,False,False,False,False,True
Graduate,7451,0.0,44.0,360.0,Semiurban,Y,True,False,True,False,False,False,False
Graduate,5050,0.0,137.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,14583,0.0,81.0,360.0,Rural,Y,False,True,True,False,False,False,True
Graduate,3167,2283.0,194.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,2214,1398.0,93.0,360.0,Urban,Y,True,True,False,False,False,False,True
Graduate,5568,2142.0,370.0,360.0,Rural,N,False,False,False,False,False,False,False
Graduate,10408,0.0,160.0,360.0,Urban,Y,True,True,False,False,False,True,True
Graduate,5667,2667.0,182.0,360.0,Rural,Y,False,False,False,True,False,False,True
Graduate,4166,0.0,650.0,360.0,Semiurban,Y,False,False,False,False,False,True,True
Graduate,2137,8980.0,74.0,180.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,2957,0.0,70.0,360.0,Semiurban,Y,True,True,False,False,True,False,True
Not Graduate,4300,2014.0,25.0,480.0,Rural,Y,False,False,False,False,False,True,True
Graduate,3692,0.0,102.0,360.0,Rural,Y,True,True,True,False,False,False,True
Graduate,23803,0.0,290.0,360.0,Rural,Y,True,False,False,False,False,False,False
Graduate,3865,1640.0,84.0,120.0,Rural,Y,True,True,False,False,False,False,True
Graduate,10513,3850.0,88.0,360.0,Urban,N,True,True,False,False,False,True,True
Graduate,6080,2569.0,242.0,360.0,Rural,N,True,False,False,False,False,False,True
Graduate,20166,0.0,129.0,360.0,Urban,Y,True,False,False,False,False,False,True
Graduate,2014,1929.0,185.0,360.0,Urban,Y,True,False,False,False,False,False,True
Graduate,2718,0.0,168.0,360.0,Semiurban,Y,True,True,False,False,True,False,True
Graduate,3459,0.0,175.0,360.0,Semiurban,Y,True,False,False,False,False,True,True
Graduate,4895,0.0,122.0,360.0,Semiurban,Y,False,True,False,True,False,False,True
Graduate,4000,7750.0,187.0,360.0,Semiurban,N,True,True,False,False,False,False,True
Graduate,4583,0.0,100.0,180.0,Rural,N,True,True,False,True,False,False,True
Graduate,3316,3500.0,70.0,360.0,Urban,Y,True,False,False,True,False,False,True
Graduate,14999,0.0,30.0,180.0,Semiurban,N,True,True,False,False,False,False,False
Not Graduate,4200,1430.0,225.0,360.0,Rural,N,True,True,False,False,False,False,True
Graduate,5042,2083.0,125.0,360.0,Rural,N,True,False,False,False,False,False,True
Graduate,5417,0.0,118.0,360.0,Urban,Y,True,False,False,True,False,False,True
Graduate,6950,0.0,152.0,360.0,Semiurban,Y,True,True,False,False,False,True,True
Graduate,2698,2034.0,244.0,360.0,Semiurban,Y,False,True,False,True,False,False,False
Graduate,11757,0.0,113.0,360.0,Urban,Y,False,True,True,False,False,False,True
Graduate,2330,4486.0,50.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,14866,0.0,600.0,360.0,Urban,Y,False,True,False,False,False,False,True
Graduate,1538,1425.0,160.0,360.0,Urban,Y,True,False,False,False,False,False,True
Graduate,10000,1666.0,187.0,360.0,Rural,N,True,True,False,False,False,False,True
Graduate,4860,830.0,120.0,180.0,Semiurban,Y,True,False,False,False,False,False,False
Graduate,6277,0.0,255.0,360.0,Rural,N,True,True,False,True,False,False,True
Graduate,2577,3750.0,98.0,360.0,Rural,Y,True,False,False,False,False,False,True
Graduate,9166,0.0,275.0,360.0,Urban,N,True,True,False,False,True,False,True
Not Graduate,2281,0.0,121.0,360.0,Rural,N,True,False,True,False,False,False,True
Graduate,3254,0.0,158.0,360.0,Urban,Y,True,True,True,False,False,False,True
Graduate,39999,0.0,75.0,360.0,Semiurban,Y,True,True,False,False,False,False,False
Graduate,6000,0.0,182.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,9538,0.0,112.0,360.0,Urban,Y,True,False,False,False,False,False,True
Graduate,2980,2083.0,129.0,180.0,Rural,Y,True,True,False,False,False,False,True
Graduate,4583,5625.0,63.0,360.0,Semiurban,Y,True,True,True,False,False,False,True
Not Graduate,1863,1041.0,200.0,360.0,Semiurban,Y,True,True,False,True,False,False,True
Graduate,7933,0.0,95.0,480.0,Urban,N,True,True,False,False,False,False,True
Graduate,3089,1280.0,700.0,360.0,Semiurban,N,True,True,False,False,False,False,True
Graduate,4167,1447.0,81.0,360.0,Rural,Y,True,True,False,False,False,True,True
Graduate,9323,0.0,187.0,300.0,Urban,Y,False,True,False,False,False,False,False
Graduate,3707,3166.0,87.0,180.0,Rural,Y,True,True,False,False,False,False,True
Graduate,4583,0.0,116.0,360.0,Rural,N,True,True,False,True,False,False,False
Graduate,2439,3333.0,101.0,360.0,Rural,Y,True,False,False,False,False,False,False
Graduate,2237,0.0,495.0,360.0,Semiurban,N,True,True,False,False,True,False,True
Graduate,8000,0.0,116.0,360.0,Semiurban,Y,True,True,False,False,True,False,True
Not Graduate,1820,1769.0,102.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,51763,0.0,180.0,360.0,Urban,Y,True,True,False,False,False,False,True
Not Graduate,3522,0.0,67.0,480.0,Rural,N,True,True,False,False,False,False,False
Graduate,5708,5625.0,73.0,360.0,Semiurban,Y,True,True,False,True,False,False,True
Not Graduate,4344,736.0,260.0,360.0,Semiurban,N,True,True,False,False,True,True,True
Graduate,3497,1964.0,108.0,180.0,Rural,Y,True,True,True,False,False,True,True
Graduate,2045,1619.0,120.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,5516,11300.0,66.0,360.0,Semiurban,N,True,True,True,False,False,True,True
Graduate,3750,0.0,58.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Not Graduate,2333,1451.0,168.0,300.0,Urban,N,True,True,False,False,False,False,True
Graduate,6400,7250.0,188.0,360.0,Urban,N,True,False,True,False,False,False,True
Graduate,1916,5063.0,48.0,360.0,Rural,N,False,True,False,False,False,False,True
Graduate,4600,0.0,164.0,180.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,33846,0.0,160.0,360.0,Semiurban,N,True,True,True,False,False,False,True
Graduate,3625,0.0,76.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,39147,4750.0,120.0,360.0,Semiurban,Y,True,True,False,False,False,False,False
Graduate,2178,0.0,170.0,360.0,Rural,N,True,True,False,False,False,False,True
Graduate,2383,2138.0,187.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,674,5296.0,120.0,360.0,Rural,Y,True,True,False,False,False,True,True
Graduate,9328,0.0,113.0,360.0,Rural,Y,True,False,False,False,False,False,True
Not Graduate,4885,0.0,83.0,360.0,Rural,Y,True,False,False,False,False,False,True
Graduate,12000,0.0,90.0,360.0,Semiurban,N,True,True,False,False,False,False,True
Not Graduate,6033,0.0,166.0,360.0,Urban,N,True,False,True,False,False,False,True
Graduate,3858,0.0,135.0,360.0,Semiurban,Y,False,False,False,False,False,False,True
Graduate,4191,0.0,124.0,180.0,Rural,Y,False,True,False,False,False,False,True
Graduate,3125,2583.0,120.0,360.0,Semiurban,N,True,False,False,False,False,False,False
Graduate,8333,3750.0,80.0,360.0,Rural,Y,True,False,False,False,False,False,True
Not Graduate,1907,2365.0,55.0,360.0,Urban,Y,True,True,True,False,False,False,True
Graduate,3416,2816.0,59.0,360.0,Semiurban,Y,True,False,False,True,False,False,True
Graduate,11000,0.0,127.0,360.0,Urban,N,True,True,False,False,True,False,True
Not Graduate,2600,2500.0,214.0,360.0,Semiurban,Y,True,False,True,False,False,False,True
Graduate,4923,0.0,128.0,360.0,Semiurban,Y,False,True,False,True,False,True,True
Not Graduate,3992,0.0,240.0,360.0,Urban,N,False,True,False,False,False,True,False
Not Graduate,3500,1083.0,130.0,360.0,Urban,Y,True,True,False,False,False,False,False
Not Graduate,3917,0.0,137.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Not Graduate,4408,0.0,100.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Graduate,3244,0.0,135.0,360.0,Urban,Y,False,False,False,False,False,False,True
Not Graduate,3975,2531.0,131.0,360.0,Rural,Y,True,False,False,False,False,False,True
Graduate,2479,0.0,72.0,360.0,Urban,Y,True,False,False,False,True,False,True
Graduate,3418,0.0,127.0,360.0,Semiurban,N,True,False,True,False,False,False,True
Graduate,10000,0.0,60.0,360.0,Semiurban,N,True,True,False,False,True,False,True
Graduate,3430,1250.0,116.0,360.0,Semiurban,N,True,True,False,False,False,False,True
Graduate,7787,0.0,144.0,360.0,Urban,Y,True,True,False,False,True,False,True
Not Graduate,5703,0.0,175.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,3173,3021.0,128.0,360.0,Urban,Y,True,True,False,False,False,True,True
Not Graduate,3850,983.0,170.0,360.0,Semiurban,Y,False,True,False,True,False,False,True
Graduate,150,1800.0,138.0,360.0,Rural,N,True,True,False,True,False,False,True
Graduate,3727,1775.0,210.0,360.0,Semiurban,Y,True,True,False,False,False,True,True
Graduate,5000,0.0,158.0,360.0,Semiurban,N,True,True,False,True,False,False,True
Graduate,4283,2383.0,200.0,480.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,2221,0.0,104.0,360.0,Urban,N,True,True,False,False,False,False,True
Graduate,4009,1717.0,42.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Graduate,2971,2791.0,120.0,180.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,7578,1010.0,280.0,360.0,Semiurban,Y,True,True,False,True,False,True,True
Graduate,6250,0.0,140.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,3250,0.0,170.0,360.0,Rural,N,True,True,True,False,False,False,True
Not Graduate,4735,0.0,255.0,360.0,Urban,N,True,True,False,False,False,False,True
Graduate,6250,1695.0,122.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Graduate,4758,0.0,112.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,6400,0.0,96.0,360.0,Rural,Y,False,True,True,False,False,True,True
Graduate,2491,2054.0,120.0,360.0,Semiurban,Y,True,False,True,False,False,False,True
Graduate,3716,0.0,140.0,180.0,Rural,Y,True,False,False,False,False,True,False
Not Graduate,3189,2598.0,155.0,60.0,Rural,Y,True,True,False,False,False,False,True
Graduate,8333,0.0,108.0,360.0,Semiurban,Y,False,True,True,False,False,False,True
Graduate,3155,1779.0,123.0,360.0,Semiurban,Y,False,True,True,False,False,False,True
Graduate,5500,1260.0,120.0,180.0,Rural,Y,True,False,False,True,False,False,False
Graduate,5746,0.0,112.0,360.0,Urban,N,True,False,True,False,False,False,True
Graduate,3463,0.0,137.0,180.0,Urban,Y,True,True,False,False,False,False,False
Graduate,3812,0.0,123.0,480.0,Rural,Y,True,True,False,True,False,True,True
Graduate,3315,0.0,90.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,5819,5000.0,201.0,360.0,Rural,Y,True,False,False,False,False,True,True
Not Graduate,2510,1983.0,138.0,360.0,Urban,N,True,True,False,True,False,False,True
Graduate,2965,5701.0,104.0,360.0,Urban,Y,True,True,True,False,False,False,True
Graduate,6250,1300.0,279.0,180.0,Rural,Y,True,False,True,False,False,False,True
Not Graduate,3406,4417.0,192.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,6050,4333.0,255.0,360.0,Urban,N,True,True,False,False,False,False,True
Graduate,9703,0.0,115.0,360.0,Urban,Y,True,True,False,True,False,False,False
Not Graduate,6608,0.0,94.0,360.0,Urban,Y,False,True,False,False,False,False,True
Graduate,2882,1843.0,304.0,360.0,Semiurban,Y,True,True,True,False,False,False,True
Graduate,1809,1868.0,128.0,360.0,Urban,Y,True,False,False,False,False,False,True
Not Graduate,1668,3890.0,330.0,360.0,Semiurban,N,True,False,False,False,True,True,True
Graduate,3427,0.0,134.0,360.0,Urban,N,False,True,False,False,False,False,True
Not Graduate,2583,2167.0,155.0,36.0,Rural,Y,True,False,False,False,True,False,True
Not Graduate,2661,7101.0,120.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Graduate,16250,0.0,128.0,360.0,Urban,N,True,False,False,False,True,False,True
Graduate,3083,0.0,151.0,360.0,Rural,Y,True,True,True,False,False,False,True
Not Graduate,6045,0.0,150.0,360.0,Rural,N,True,True,False,False,False,False,True
Graduate,5250,0.0,160.0,360.0,Urban,N,True,True,True,False,False,False,True
Graduate,14683,2100.0,135.0,360.0,Rural,N,False,True,False,False,False,False,False
Not Graduate,4931,0.0,90.0,360.0,Semiurban,N,False,False,False,False,False,False,True
Graduate,6083,4250.0,30.0,360.0,Urban,Y,True,False,False,False,False,False,True
Graduate,2060,2209.0,136.0,360.0,Semiurban,Y,True,False,False,True,False,False,True
Graduate,3481,0.0,126.0,360.0,Semiurban,N,True,False,False,False,True,False,True
Graduate,7200,0.0,150.0,360.0,Rural,Y,True,False,False,False,False,False,True
Graduate,5166,0.0,90.0,360.0,Semiurban,Y,False,True,True,False,False,False,True
Graduate,4095,3447.0,115.0,360.0,Rural,Y,False,True,False,False,False,True,True
Graduate,4708,1387.0,207.0,360.0,Semiurban,Y,False,False,False,False,False,False,True
Graduate,4333,1811.0,80.0,360.0,Urban,Y,True,False,False,False,False,False,True
Graduate,3418,0.0,436.0,360.0,Rural,N,True,False,False,False,False,False,True
Graduate,2876,1560.0,124.0,360.0,Urban,Y,True,True,False,True,False,False,False
Graduate,3237,0.0,158.0,360.0,Urban,Y,True,False,True,False,False,False,True
Graduate,11146,0.0,112.0,360.0,Urban,Y,True,True,False,False,False,True,False
Graduate,2833,1857.0,78.0,180.0,Rural,Y,True,True,False,False,False,False,True
Graduate,2620,2223.0,54.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,3900,0.0,89.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,2750,1842.0,99.0,360.0,Semiurban,Y,False,True,True,False,False,False,True
Graduate,3993,3274.0,120.0,300.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,3103,1300.0,115.0,360.0,Urban,Y,True,True,False,True,False,False,True
Graduate,14583,0.0,187.0,360.0,Semiurban,Y,True,False,False,False,False,False,False
Not Graduate,4100,0.0,139.0,360.0,Rural,Y,False,True,False,False,False,False,True
Not Graduate,4053,2426.0,127.0,360.0,Urban,N,True,True,False,False,False,False,True
Graduate,3927,800.0,134.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Graduate,2301,985.7999878,143.0,360.0,Urban,Y,False,True,False,False,False,False,True
Graduate,1811,1666.0,172.0,480.0,Urban,Y,True,False,False,False,False,False,True
Graduate,20667,0.0,110.0,360.0,Rural,N,False,False,False,False,False,False,True
Graduate,3158,3053.0,200.0,360.0,Rural,Y,True,True,False,False,False,False,False
Graduate,2600,1717.0,135.0,360.0,Semiurban,N,True,False,False,True,False,False,True
Graduate,3704,2000.0,151.0,360.0,Rural,Y,True,False,False,True,False,False,True
Graduate,4124,0.0,113.0,480.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,9508,0.0,93.0,360.0,Rural,Y,False,True,False,False,True,False,True
Graduate,3075,2416.0,105.0,360.0,Rural,Y,True,True,True,False,False,False,True
Graduate,4400,0.0,132.0,360.0,Semiurban,N,True,False,True,False,False,False,True
Graduate,3153,1560.0,96.0,360.0,Urban,Y,True,True,False,False,False,False,True
Graduate,5417,0.0,140.0,360.0,Urban,N,False,True,True,False,False,False,True
Graduate,2383,3334.0,135.0,360.0,Semiurban,Y,False,True,False,False,False,False,True
Graduate,4416,1250.0,104.0,360.0,Urban,Y,True,True,False,False,False,False,True
Graduate,6875,0.0,480.0,360.0,Semiurban,Y,True,False,True,False,False,False,True
Graduate,4666,0.0,185.0,360.0,Urban,Y,True,True,False,False,False,True,True
Graduate,5000,2541.0,84.0,360.0,Rural,N,False,True,False,False,False,False,False
Graduate,2014,2925.0,111.0,360.0,Urban,N,True,True,False,False,False,False,False
Not Graduate,1800,2934.0,56.0,360.0,Urban,N,True,False,False,False,False,False,True
Not Graduate,2875,1750.0,144.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,5000,0.0,159.0,360.0,Rural,Y,False,False,False,True,False,False,True
Graduate,1625,1803.0,111.0,84.0,Urban,Y,False,False,False,False,False,True,True
Graduate,4000,2500.0,120.0,360.0,Rural,Y,True,False,False,False,False,False,True
