Education,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_Status,Gender_Male,Married_Yes,Dependents_1.0,Dependents_2.0,Dependents_3.0,Self_Employed_Yes,Credit_History_1.0
Not Graduate,2000,0.0,88.0,180.0,Urban,N,True,False,False,False,False,False,True
Graduate,3762,1666.0,112.0,360.0,Rural,Y,False,False,False,True,False,False,True
Graduate,2400,1863.0,155.0,360.0,Urban,N,True,True,False,False,False,False,True
Graduate,20233,0.0,115.0,360.0,Rural,N,False,False,True,False,False,False,True
Not Graduate,7667,0.0,124.0,360.0,Rural,Y,True,False,False,True,False,True,True
Graduate,2917,0.0,132.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Not Graduate,2927,2405.0,300.0,360.0,Semiurban,Y,True,True,True,False,False,True,False
Graduate,2507,0.0,376.0,360.0,Rural,Y,True,True,True,False,False,False,True
Graduate,5746,0.0,130.0,360.0,Rural,Y,False,True,False,False,False,False,True
Graduate,2473,1843.0,184.0,360.0,Rural,N,True,True,False,False,True,False,True
Not Graduate,3399,1640.0,110.0,360.0,Urban,Y,True,True,False,True,False,False,True
Graduate,3717,0.0,67.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Graduate,2058,2134.0,117.0,360.0,Urban,Y,True,True,False,False,True,True,True
Graduate,3541,0.0,98.0,360.0,Semiurban,Y,False,True,True,False,False,True,True
Graduate,10000,0.0,71.0,360.0,Rural,N,True,True,False,False,False,True,False
Graduate,2400,2167.0,490.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,4342,189.0,182.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Not Graduate,3601,1590.0,70.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,3166,2985.0,160.0,180.0,Rural,Y,False,True,True,False,False,False,True
Graduate,15000,0.0,176.0,180.0,Rural,Y,False,False,False,False,False,False,True
Graduate,8666,4983.0,71.0,360.0,Rural,N,True,True,False,False,False,False,False
Graduate,4917,0.0,173.0,360.0,Rural,Y,True,True,True,False,False,False,True
Graduate,5818,2160.0,46.0,360.0,Semiurban,Y,True,False,True,False,False,False,True
Graduate,4333,2451.0,158.0,360.0,Urban,N,True,False,False,True,False,False,True
Graduate,2500,0.0,74.0,360.0,Urban,Y,True,False,False,False,True,False,True
Graduate,4384,1793.0,125.0,360.0,Urban,Y,True,False,False,False,False,False,False
Graduate,2935,0.0,160.0,360.0,Semiurban,Y,True,True,False,False,True,False,True
Graduate,2833,0.0,152.0,360.0,Urban,Y,False,True,False,False,False,False,True
Graduate,63337,0.0,126.0,360.0,Urban,Y,False,True,True,False,False,False,True
Graduate,9833,1833.0,259.0,360.0,Urban,Y,True,True,False,False,True,True,True
Graduate,5503,4490.0,187.0,360.0,Semiurban,Y,False,True,False,True,False,False,True
Graduate,5250,688.0,228.0,360.0,Rural,Y,True,False,False,False,False,False,True
Graduate,2500,4600.0,308.0,360.0,Rural,Y,True,False,False,True,False,False,True
Not Graduate,1830,0.0,95.0,360.0,Urban,N,True,True,False,False,False,False,False
Graduate,4160,0.0,105.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Not Graduate,2647,1587.0,130.0,360.0,Rural,N,True,True,False,False,False,False,True
Graduate,2378,0.0,116.0,360.0,Rural,N,True,True,False,False,False,False,True
Not Graduate,4554,1229.0,165.0,360.0,Urban,Y,True,True,False,False,True,False,True
Not Graduate,3173,0.0,67.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,2583,2330.0,100.0,180.0,Rural,Y,True,True,False,False,False,False,False
Graduate,2499,2458.0,200.0,360.0,Semiurban,Y,True,True,False,True,False,True,True
Not Graduate,3523,3230.0,81.0,360.0,Rural,N,True,True,True,False,False,False,True
Not Graduate,3083,2168.0,236.0,480.0,Urban,Y,False,True,False,False,False,False,True
Graduate,6333,4583.0,130.0,360.0,Semiurban,Y,False,True,False,False,True,False,True
Graduate,2625,6250.0,95.0,360.0,Rural,Y,False,False,True,False,False,False,True
Graduate,9083,0.0,141.0,360.0,Semiurban,Y,True,True,False,True,False,False,True
Graduate,8750,4167.0,133.0,360.0,Rural,N,True,True,False,False,False,True,True
Graduate,2666,2083.0,96.0,300.0,Rural,Y,True,True,False,False,False,False,True
Graduate,5500,0.0,124.0,360.0,Rural,N,True,False,False,False,False,True,True
Graduate,2423,505.0,175.0,360.0,Semiurban,Y,False,True,False,False,False,False,True
Graduate,3813,0.0,570.0,480.0,Urban,Y,True,True,False,False,False,False,True
Graduate,8333,3167.0,55.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,3875,0.0,155.0,360.0,Urban,N,True,True,True,False,False,False,False
Not Graduate,3000,1666.0,380.0,360.0,Urban,N,True,False,False,False,False,False,True
Graduate,5167,3167.0,111.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,4723,0.0,110.0,300.0,Semiurban,N,True,True,False,True,False,False,True
Graduate,5000,3667.0,120.0,180.0,Semiurban,Y,True,True,False,True,False,False,True
Graduate,4750,2333.0,130.0,360.0,Urban,Y,True,False,True,False,False,True,True
Graduate,3013,3033.0,130.0,180.0,Urban,Y,True,False,False,False,False,False,True
Graduate,6822,0.0,71.0,360.0,Rural,Y,False,False,False,False,False,False,False
Not Graduate,6216,0.0,130.0,360.0,Rural,N,True,False,False,False,True,False,True
Graduate,2500,0.0,128.0,480.0,Semiurban,N,True,True,False,False,False,False,True
Graduate,5124,0.0,296.0,360.0,Rural,N,True,True,False,False,False,False,False
Graduate,6325,0.0,156.0,360.0,Semiurban,Y,False,False,False,True,False,False,False
Graduate,19730,5266.0,128.0,360.0,Rural,N,True,True,False,False,False,False,True
Graduate,15759,0.0,100.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,5185,0.0,113.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Graduate,9323,7873.0,132.0,360.0,Rural,Y,True,False,False,False,False,False,True
Graduate,3062,1987.0,136.0,180.0,Urban,N,True,True,False,True,False,False,True
Graduate,2764,1459.0,125.0,360.0,Urban,Y,True,True,True,False,False,False,True
Graduate,4817,923.0,185.0,360.0,Urban,Y,True,True,False,False,False,False,True
Graduate,8750,4996.0,275.0,360.0,Rural,Y,False,False,False,False,False,False,False
Graduate,4310,0.0,120.0,360.0,Semiurban,Y,True,True,False,False,False,False,False
Graduate,3069,0.0,113.0,360.0,Urban,N,True,True,False,False,False,False,True
Graduate,5391,0.0,113.0,360.0,Urban,Y,True,False,False,False,True,False,False
Graduate,3333,2500.0,135.0,360.0,Semiurban,Y,True,False,False,False,True,False,True
Graduate,5941,4232.0,71.0,180.0,Semiurban,Y,True,False,False,False,False,False,False
Graduate,6000,0.0,95.0,360.0,Urban,Y,True,True,False,True,False,True,True
Graduate,7167,0.0,109.0,360.0,Urban,Y,True,False,False,True,False,False,True
Graduate,4566,0.0,103.0,360.0,Urban,N,True,False,False,True,False,False,True
Graduate,3667,0.0,45.0,360.0,Urban,Y,True,True,False,False,False,False,True
Not Graduate,2346,1600.0,65.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Not Graduate,3010,3136.0,103.0,360.0,Urban,N,True,True,False,False,False,False,True
Graduate,2333,2417.0,53.0,180.0,Urban,Y,True,False,False,False,False,True,False
Graduate,5488,0.0,194.0,300.0,Rural,Y,True,True,False,True,False,False,True
Graduate,9167,0.0,115.0,360.0,Rural,Y,False,True,False,False,False,False,False
Graduate,9504,0.0,115.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,2583,2115.0,66.0,360.0,Urban,Y,True,True,False,False,False,False,True
Not Graduate,1993,1625.0,152.0,360.0,Semiurban,Y,False,True,False,False,False,False,True
Graduate,3100,1400.0,360.0,360.0,Urban,Y,True,False,False,False,False,True,True
Graduate,3276,484.0,62.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,3180,0.0,160.0,300.0,Urban,N,True,False,False,False,False,False,True
Graduate,3033,1459.0,218.0,360.0,Urban,Y,False,False,True,False,False,False,True
Not Graduate,3902,1666.0,110.0,360.0,Rural,Y,False,True,False,False,True,False,False
Graduate,1500,1800.0,178.0,360.0,Semiurban,N,False,False,True,False,False,False,True
Not Graduate,2889,0.0,60.0,360.0,Urban,N,True,False,False,False,False,False,True
Not Graduate,2755,0.0,160.0,360.0,Rural,N,False,False,False,False,False,False,True
Graduate,2500,20000.0,239.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Not Graduate,1963,0.0,112.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Graduate,7441,0.0,138.0,360.0,Rural,N,False,True,False,False,False,False,True
Graduate,4547,0.0,138.0,360.0,Semiurban,Y,True,False,True,False,False,False,False
Not Graduate,2167,2400.0,80.0,360.0,Urban,Y,True,True,False,True,False,False,True
Not Graduate,2213,0.0,100.0,360.0,Rural,Y,True,True,False,False,False,True,True
Graduate,8300,0.0,110.0,360.0,Semiurban,N,False,False,False,False,False,False,True
Graduate,81000,0.0,96.0,360.0,Rural,N,False,True,False,False,False,False,True
Not Graduate,3867,0.0,121.0,360.0,Semiurban,N,False,True,False,False,False,False,True
Graduate,6256,0.0,81.0,360.0,Urban,Y,True,True,False,False,False,False,True
Not Graduate,6096,0.0,133.0,360.0,Rural,N,True,True,True,False,False,False,True
Not Graduate,2253,2033.0,87.0,360.0,Rural,Y,True,False,False,False,False,False,True
Not Graduate,2149,3237.0,60.0,360.0,Semiurban,N,True,False,False,False,False,True,False
Graduate,2995,0.0,150.0,180.0,Urban,Y,False,True,True,False,False,True,False
Graduate,2600,0.0,105.0,360.0,Urban,N,True,True,False,True,False,False,False
Graduate,1600,20000.0,405.0,360.0,Urban,N,True,True,False,False,False,False,False
Graduate,1025,2773.0,143.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,3246,1417.0,100.0,360.0,Semiurban,Y,True,False,True,False,False,False,True
Graduate,5829,0.0,50.0,360.0,Rural,Y,False,True,False,False,False,False,True
Not Graduate,2720,0.0,187.0,240.0,Urban,N,True,True,False,False,False,True,True
Graduate,1820,1719.0,138.0,360.0,Urban,Y,True,True,False,False,False,False,True
Graduate,7250,1667.0,187.0,360.0,Urban,N,True,True,False,False,False,False,True
Graduate,14880,0.0,180.0,360.0,Semiurban,Y,False,False,False,False,False,True,True
Graduate,2666,4300.0,148.0,360.0,Rural,Y,True,True,False,False,False,False,True
Not Graduate,4606,0.0,152.0,360.0,Rural,N,True,True,False,False,False,False,True
Graduate,5935,0.0,175.0,360.0,Semiurban,Y,True,False,False,False,False,False,False
Graduate,2920,16.12000084,130.0,360.0,Rural,Y,True,False,False,False,False,False,True
Not Graduate,2717,0.0,110.0,360.0,Urban,Y,False,False,False,False,False,True,False
Graduate,8624,0.0,55.0,300.0,Semiurban,Y,True,False,False,False,True,False,True
Graduate,6500,0.0,150.0,360.0,Rural,N,True,True,True,False,False,False,True
Graduate,12876,0.0,190.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Graduate,2425,2340.0,125.0,360.0,Semiurban,Y,False,False,True,False,False,False,True
Graduate,3750,0.0,60.0,360.0,Urban,Y,True,True,False,True,False,False,False
Graduate,10047,0.0,149.0,360.0,Semiurban,Y,True,False,False,False,False,True,True
Graduate,1926,1851.0,90.0,360.0,Semiurban,Y,True,True,False,True,False,False,True
Graduate,2213,1125.0,84.0,300.0,Urban,Y,True,False,True,False,False,False,True
Graduate,10416,0.0,96.0,360.0,Urban,N,True,True,False,True,False,False,True
Not Graduate,7142,0.0,118.0,180.0,Rural,Y,True,False,False,True,False,False,False
Graduate,3660,5064.0,173.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Graduate,7901,1833.0,136.0,360.0,Rural,Y,True,True,False,False,False,False,True
Not Graduate,4707,1993.0,160.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,37719,0.0,160.0,360.0,Semiurban,Y,True,True,False,True,False,True,True
Graduate,7333,8333.0,128.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,3466,1210.0,153.0,360.0,Rural,Y,True,True,False,False,False,False,True
Not Graduate,4652,0.0,132.0,360.0,Rural,Y,True,False,False,True,False,True,True
Graduate,3539,1376.0,98.0,180.0,Rural,N,True,True,False,False,False,False,True
Graduate,3340,1710.0,140.0,360.0,Rural,N,True,True,False,False,False,True,False
Not Graduate,2769,1542.0,70.0,360.0,Semiurban,N,True,True,False,False,True,False,True
Not Graduate,2309,1255.0,110.0,360.0,Rural,N,True,True,False,False,False,False,True
Not Graduate,1958,1456.0,98.0,360.0,Urban,Y,True,False,True,False,False,True,True
Graduate,3948,1733.0,110.0,180.0,Rural,N,True,True,False,False,False,False,True
Graduate,2483,2466.0,162.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,7085,0.0,113.0,360.0,Semiurban,Y,True,True,False,False,True,False,False
Graduate,3859,0.0,100.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Graduate,4301,0.0,93.0,360.0,Urban,Y,False,True,False,True,False,False,True
Graduate,3708,2569.0,162.0,180.0,Urban,N,True,True,False,False,False,False,True
Graduate,4354,0.0,150.0,360.0,Rural,Y,True,True,True,False,False,False,False
Graduate,8334,0.0,230.0,360.0,Semiurban,N,True,True,True,False,False,False,True
Graduate,2083,4083.0,132.0,360.0,Semiurban,Y,False,False,False,False,True,False,True
Graduate,7740,0.0,86.0,360.0,Urban,Y,True,False,False,False,False,True,True
Graduate,3015,2188.0,154.0,300.0,Rural,Y,True,False,False,True,False,False,True
Not Graduate,5191,0.0,113.0,360.0,Semiurban,Y,True,True,False,True,False,False,True
Graduate,4166,0.0,128.0,360.0,Semiurban,N,True,True,False,True,False,False,True
Graduate,6000,0.0,234.0,360.0,Rural,Y,False,True,False,True,False,False,True
Not Graduate,2947,1664.0,246.0,360.0,Urban,N,True,True,True,False,False,True,True
Graduate,16692,0.0,131.0,360.0,Semiurban,Y,True,True,False,True,False,False,True
Not Graduate,210,2917.0,80.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,4333,2451.0,500.0,360.0,Urban,N,True,True,False,False,True,False,True
Graduate,3450,2079.0,160.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Not Graduate,2653,1500.0,75.0,360.0,Rural,N,False,False,False,False,False,True,True
Graduate,4691,0.0,96.0,360.0,Semiurban,Y,True,True,False,True,False,False,True
Graduate,2500,0.0,186.0,360.0,Urban,Y,True,True,True,False,False,False,True
Graduate,5532,4648.0,110.0,360.0,Rural,Y,True,True,False,True,False,False,False
Graduate,16525,1014.0,225.0,360.0,Rural,Y,True,True,True,False,False,False,True
Graduate,6700,1750.0,119.0,360.0,Semiurban,Y,True,True,False,True,False,False,True
Graduate,2873,1872.0,105.0,360.0,Semiurban,N,True,False,False,False,False,False,True
Graduate,16667,2250.0,107.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,2947,1603.0,111.0,360.0,Urban,N,True,True,True,False,False,False,True
Not Graduate,4350,0.0,95.0,360.0,Rural,Y,True,True,False,False,False,False,True
Not Graduate,3095,0.0,209.0,84.0,Rural,Y,True,True,False,False,False,True,True
Graduate,2083,3150.0,113.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,10833,0.0,100.0,12.0,Semiurban,Y,True,False,True,False,False,False,True
Graduate,8333,0.0,208.0,360.0,Semiurban,Y,False,True,False,False,False,False,False
Not Graduate,1958,2436.0,138.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,3547,0.0,124.0,480.0,Rural,N,False,False,True,False,False,False,True
Graduate,18333,0.0,243.0,360.0,Urban,N,True,False,False,False,False,False,True
Graduate,4583,2083.0,480.0,360.0,Semiurban,Y,True,True,False,False,False,False,False
Graduate,2435,0.0,96.0,360.0,Urban,N,True,False,False,False,False,False,True
Not Graduate,2699,2785.0,188.0,300.0,Semiurban,Y,True,False,False,True,False,False,True
Not Graduate,5333,1131.0,40.0,360.0,Urban,Y,False,True,True,False,False,False,True
Not Graduate,3691,0.0,100.0,360.0,Rural,Y,False,True,False,False,False,False,True
Not Graduate,17263,0.0,250.0,360.0,Semiurban,Y,True,True,False,True,False,False,True
Graduate,3597,2157.0,148.0,360.0,Rural,N,True,True,False,False,False,False,True
Graduate,3326,913.0,70.0,360.0,Semiurban,Y,True,True,False,False,False,True,True
Not Graduate,2600,1700.0,311.0,360.0,Rural,Y,True,False,False,False,False,True,False
Graduate,4625,2857.0,150.0,360.0,Urban,Y,True,False,True,False,False,False,True
Graduate,2895,0.0,113.0,360.0,Semiurban,Y,True,False,False,False,False,True,True
Graduate,6283,4416.0,123.0,180.0,Rural,N,False,True,True,False,False,False,True
Graduate,645,3683.0,185.0,360.0,Rural,Y,True,True,False,True,False,False,True
Graduate,3159,0.0,95.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,4865,5624.0,45.0,480.0,Semiurban,Y,True,True,False,False,False,False,False
Not Graduate,4050,5302.0,55.0,360.0,Rural,N,True,True,False,False,True,False,True
Not Graduate,3814,1483.0,100.0,360.0,Semiurban,Y,True,False,False,True,False,False,False
Graduate,3510,4416.0,480.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,20833,6667.0,400.0,360.0,Urban,Y,False,False,False,False,False,False,True
Graduate,3583,0.0,110.0,360.0,Urban,N,True,False,False,True,False,True,False
Graduate,2479,3013.0,161.0,360.0,Urban,Y,True,True,False,False,False,False,False
Graduate,13262,0.0,94.0,360.0,Urban,Y,False,True,False,False,True,False,True
Not Graduate,3598,1287.0,130.0,360.0,Rural,N,True,True,False,True,False,False,True
Graduate,6065,2004.0,216.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Graduate,3283,2035.0,100.0,360.0,Urban,Y,True,True,False,True,False,False,True
Graduate,2130,6666.0,110.0,360.0,Semiurban,N,True,True,False,False,False,False,True
Graduate,5815,3666.0,196.0,360.0,Rural,N,True,True,True,False,False,False,True
Graduate,3466,3428.0,125.0,360.0,Rural,Y,True,False,True,False,False,False,True
Graduate,2031,1632.0,126.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Not Graduate,3074,1800.0,324.0,360.0,Semiurban,N,True,True,False,False,False,False,False
Graduate,4683,1915.0,107.0,360.0,Semiurban,N,True,False,False,False,True,False,True
Not Graduate,3400,0.0,66.0,360.0,Rural,N,True,True,False,True,False,False,False
Not Graduate,2192,1742.0,157.0,360.0,Semiurban,Y,True,True,True,False,False,False,True
Graduate,2500,0.0,140.0,360.0,Semiurban,Y,True,False,False,False,False,True,False
Graduate,5677,1424.0,99.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,7948,7166.0,95.0,360.0,Rural,Y,True,True,False,False,False,False,False
Graduate,4680,2087.0,128.0,360.0,Semiurban,N,False,True,False,True,False,False,True
Graduate,17500,0.0,102.0,180.0,Rural,Y,True,False,False,False,False,False,True
Graduate,3775,0.0,155.0,180.0,Semiurban,Y,True,False,False,False,True,False,True
Not Graduate,5285,1430.0,80.0,360.0,Semiurban,Y,True,True,True,False,False,False,True
Not Graduate,2679,1302.0,145.0,360.0,Semiurban,Y,True,True,False,False,False,True,False
Not Graduate,6783,0.0,103.0,360.0,Semiurban,Y,True,False,True,False,False,False,True
Graduate,1025,5500.0,110.0,360.0,Rural,Y,False,False,True,False,False,False,True
Graduate,4281,0.0,158.0,360.0,Urban,Y,False,False,False,False,False,False,True
Graduate,3588,0.0,181.0,36.0,Rural,N,False,False,False,False,False,True,True
Graduate,11250,0.0,132.0,360.0,Semiurban,N,True,True,False,False,False,False,True
Not Graduate,18165,0.0,26.0,360.0,Urban,Y,False,False,False,False,False,True,True
Not Graduate,2550,2042.0,84.0,360.0,Rural,Y,True,True,False,False,False,False,False
Graduate,6133,3906.0,260.0,360.0,Urban,Y,True,True,False,False,False,False,True
Graduate,3617,0.0,162.0,360.0,Semiurban,Y,True,True,False,True,False,False,True
Not Graduate,2917,536.0,182.0,360.0,Rural,N,False,False,True,False,False,False,True
Graduate,6417,0.0,108.0,360.0,Rural,Y,True,False,True,False,False,False,True
Graduate,4608,2845.0,600.0,180.0,Semiurban,Y,True,True,False,False,False,False,False
Graduate,2138,0.0,211.0,360.0,Semiurban,N,True,True,False,False,False,False,True
Graduate,3652,0.0,132.0,360.0,Semiurban,Y,True,True,True,False,False,False,True
Not Graduate,2239,2524.0,258.0,360.0,Urban,Y,True,False,False,False,False,False,True
Not Graduate,3017,663.0,120.0,360.0,Semiurban,Y,True,False,False,False,True,False,True
Graduate,2768,1950.0,70.0,360.0,Rural,Y,True,False,False,False,False,False,True
Not Graduate,3358,0.0,123.0,360.0,Semiurban,N,False,True,False,False,False,False,True
Graduate,2526,1783.0,9.0,360.0,Rural,Y,True,True,False,True,False,False,True
Graduate,5000,0.0,104.0,360.0,Semiurban,N,True,True,True,False,False,False,False
Graduate,2785,2016.0,186.0,360.0,Rural,Y,False,True,False,False,False,False,True
Graduate,6633,0.0,165.0,360.0,Rural,N,True,True,False,False,False,False,True
Not Graduate,2492,2375.0,275.0,360.0,Rural,Y,False,True,False,True,False,False,True
Graduate,3333,3250.0,187.0,360.0,Urban,Y,True,True,False,False,False,False,True
Not Graduate,2454,2333.0,150.0,360.0,Urban,N,True,False,False,False,False,False,True
Graduate,3593,4266.0,108.0,360.0,Rural,N,True,True,False,False,True,False,True
Graduate,5468,1032.0,136.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,2667,1625.0,110.0,360.0,Urban,Y,True,True,False,False,False,False,True
Graduate,10139,0.0,107.0,360.0,Semiurban,Y,True,True,True,False,False,False,True
Graduate,3887,2669.0,161.0,360.0,Semiurban,Y,False,True,False,True,False,False,True
Graduate,4180,2306.0,205.0,480.0,Semiurban,Y,True,True,False,True,False,True,True
Not Graduate,3675,242.0,90.0,360.0,Semiurban,Y,True,False,False,False,True,False,True
Graduate,19484,0.0,36.0,84.0,Semiurban,Y,True,True,False,True,False,True,True
Graduate,5923,2054.0,61.0,360.0,Rural,Y,True,True,False,False,False,True,True
Not Graduate,5800,0.0,146.0,360.0,Semiurban,Y,True,False,False,False,False,False,False
Graduate,8799,0.0,172.0,360.0,Urban,N,True,True,True,False,False,True,True
Not Graduate,4467,0.0,104.0,360.0,Rural,Y,True,False,False,False,False,False,True
Graduate,3333,0.0,70.0,360.0,Urban,Y,True,True,False,True,False,True,True
Graduate,3400,2500.0,94.0,360.0,Rural,N,True,True,False,False,False,False,True
Graduate,2378,0.0,106.0,360.0,Urban,N,True,True,False,False,False,True,True
Graduate,3166,2064.0,56.0,360.0,Urban,N,True,True,True,False,False,False,True
Graduate,3417,1750.0,205.0,360.0,Urban,Y,True,True,True,False,False,False,True
Graduate,5116,1451.0,292.0,84.0,Urban,N,False,True,True,False,False,False,True
Graduate,16666,0.0,142.0,360.0,Urban,Y,True,True,False,False,False,False,True
Not Graduate,6125,1625.0,260.0,360.0,Semiurban,N,True,True,False,False,False,False,True
Graduate,6406,0.0,110.0,360.0,Semiurban,N,True,False,False,False,False,False,True
Graduate,3159,461.0,187.0,360.0,Urban,Y,True,True,False,True,False,False,True
Graduate,3087,2210.0,88.0,180.0,Semiurban,N,False,False,False,False,False,False,True
Graduate,3229,2739.0,180.0,240.0,Urban,Y,True,True,False,True,False,False,True
Graduate,1782,2232.0,192.0,360.0,Rural,Y,True,False,False,False,True,False,True
Graduate,3182,2917.0,350.0,180.0,Urban,Y,True,True,False,False,False,False,True
Graduate,6540,0.0,155.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,1836,33837.0,128.0,360.0,Urban,N,True,True,False,False,False,True,True
Graduate,3166,0.0,172.0,360.0,Semiurban,Y,True,True,False,True,False,False,True
Graduate,1880,0.0,496.0,360.0,Rural,N,True,True,False,False,False,False,True
Graduate,2787,1917.0,173.0,360.0,Rural,N,True,False,False,True,False,False,True
Graduate,4283,3000.0,157.0,360.0,Rural,N,True,False,False,False,True,False,True
Graduate,2297,1522.0,108.0,180.0,Urban,Y,True,True,False,False,False,False,True
Not Graduate,2165,0.0,71.0,360.0,Semiurban,Y,False,True,False,False,True,False,True
Graduate,4750,0.0,40.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,2726,0.0,253.0,360.0,Semiurban,N,True,False,True,False,False,False,True
Graduate,3000,3416.0,187.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,6000,0.0,133.0,180.0,Semiurban,N,False,True,True,False,False,False,True
Graduate,9357,0.0,128.0,360.0,Semiurban,Y,True,False,False,True,False,False,True
Graduate,3859,3300.0,128.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,16120,0.0,128.0,360.0,Urban,Y,True,False,False,False,False,False,True
Not Graduate,3833,0.0,128.0,360.0,Rural,Y,True,True,False,False,True,False,True
Not Graduate,6383,1000.0,128.0,180.0,Rural,N,False,True,True,False,False,False,True
Graduate,2987,0.0,128.0,360.0,Semiurban,N,True,False,False,True,False,False,True
Graduate,9963,0.0,128.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,5780,0.0,128.0,360.0,Urban,Y,True,True,False,False,False,False,True
Graduate,416,41667.0,128.0,360.0,Urban,N,False,False,False,False,False,False,True
Not Graduate,2894,2792.0,128.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,5703,0.0,128.0,360.0,Urban,Y,True,True,False,False,False,False,True
Graduate,3676,4301.0,128.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,12000,0.0,128.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Not Graduate,2400,3800.0,128.0,360.0,Urban,N,True,True,False,False,False,False,True
Graduate,3400,2500.0,128.0,360.0,Semiurban,Y,True,False,False,False,False,False,True
Not Graduate,3987,1411.0,128.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,3232,1950.0,128.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,2900,0.0,128.0,360.0,Rural,Y,True,True,False,False,False,False,True
Graduate,4106,0.0,128.0,360.0,Rural,Y,True,False,False,False,False,False,True
Graduate,8072,240.0,128.0,360.0,Urban,Y,True,True,False,False,False,False,True
Graduate,7583,0.0,128.0,360.0,Urban,Y,True,True,False,False,False,False,True
Graduate,4583,0.0,128.0,360.0,Semiurban,N,True,True,False,False,False,False,True
